frame,person_id,x,y,zone
0,1,1001,369,Zone 14
0,2,987,266,Zone 9
0,3,469,500,Zone 17
0,4,195,349,Zone 11
0,5,794,676,Zone 24
0,7,524,357,Zone 13
0,8,1214,138,Zone 5
0,9,818,131,Zone 4
0,10,491,209,Zone 7
0,11,154,68,Zone 1
0,12,741,64,Zone 3
0,13,607,101,Zone 3
0,14,981,530,Zone 19
0,15,582,89,Zone 3
0,16,547,93,Zone 3
0,17,1089,47,Zone 5
0,18,55,593,Zone 21
0,19,399,222,Zone 7
0,20,635,160,Zone 8
0,21,79,127,Zone 1
0,22,1134,49,Zone 5
0,23,792,143,Zone 4
0,24,249,46,Zone 1
0,25,498,37,Zone 2
0,26,1158,120,Zone 5
0,28,673,110,Zone 3
0,29,1066,47,Zone 5
0,30,882,39,Zone 4
0,31,1071,46,Zone 5
0,32,1256,518,Zone 20
0,33,1166,96,Zone 5
0,34,397,164,Zone 7
0,35,1083,47,Zone 5
0,36,941,62,Zone 4
0,37,1273,100,Zone 5
0,38,246,378,Zone 11
0,39,324,383,Zone 12
0,40,1149,146,Zone 10
1,1,1001,369,Zone 14
1,2,987,266,Zone 9
1,3,469,500,Zone 17
1,4,195,349,Zone 11
1,5,794,676,Zone 24
1,7,524,357,Zone 13
1,8,1214,138,Zone 5
1,9,818,131,Zone 4
1,10,491,209,Zone 7
1,11,154,68,Zone 1
1,12,741,64,Zone 3
1,13,607,101,Zone 3
1,14,981,530,Zone 19
1,15,582,89,Zone 3
1,16,547,93,Zone 3
1,17,1089,47,Zone 5
1,18,55,593,Zone 21
1,19,399,222,Zone 7
1,20,635,160,Zone 8
1,21,79,127,Zone 1
1,22,1134,49,Zone 5
1,23,792,143,Zone 4
1,24,249,46,Zone 1
1,25,498,37,Zone 2
1,26,1158,120,Zone 5
1,28,673,110,Zone 3
1,29,1066,47,Zone 5
1,30,882,39,Zone 4
1,31,1071,46,Zone 5
1,32,1256,518,Zone 20
1,33,1166,96,Zone 5
1,34,397,164,Zone 7
1,35,1083,47,Zone 5
1,36,941,62,Zone 4
1,37,1273,100,Zone 5
1,38,246,378,Zone 11
1,39,324,383,Zone 12
1,40,1149,146,Zone 10
2,1,1004,374,Zone 14
2,2,990,268,Zone 9
2,3,472,489,Zone 17
2,4,193,350,Zone 11
2,5,794,673,Zone 24
2,7,526,349,Zone 13
2,8,1215,140,Zone 5
2,9,818,126,Zone 4
2,10,491,202,Zone 7
2,11,156,65,Zone 1
2,12,741,66,Zone 3
2,13,609,97,Zone 3
2,14,976,531,Zone 19
2,15,582,88,Zone 3
2,16,547,91,Zone 3
2,17,1090,47,Zone 5
2,19,399,228,Zone 7
2,20,635,164,Zone 8
2,21,79,127,Zone 1
2,22,1134,50,Zone 5
2,23,793,141,Zone 4
2,24,251,45,Zone 1
2,25,497,35,Zone 2
2,27,58,596,Zone 21
2,28,674,112,Zone 3
2,29,1068,47,Zone 5
2,30,881,39,Zone 4
2,31,1072,46,Zone 5
2,32,1253,531,Zone 20
2,33,1169,89,Zone 5
2,34,397,166,Zone 7
2,36,942,61,Zone 4
2,37,1272,101,Zone 5
2,38,248,378,Zone 11
2,39,324,383,Zone 12
2,40,1148,151,Zone 10
3,1,1005,376,Zone 14
3,2,992,270,Zone 9
3,3,472,482,Zone 17
3,4,192,350,Zone 11
3,5,794,670,Zone 24
3,7,526,345,Zone 13
3,8,1215,143,Zone 5
3,9,818,124,Zone 4
3,10,492,199,Zone 7
3,11,158,62,Zone 1
3,12,741,67,Zone 3
3,13,609,96,Zone 3
3,14,973,530,Zone 19
3,15,582,88,Zone 3
3,16,547,90,Zone 3
3,17,1091,47,Zone 5
3,19,400,230,Zone 7
3,20,635,166,Zone 8
3,21,79,127,Zone 1
3,22,1135,50,Zone 5
3,23,794,140,Zone 4
3,24,253,45,Zone 1
3,25,496,33,Zone 2
3,28,674,113,Zone 3
3,29,1069,47,Zone 5
3,30,880,38,Zone 4
3,31,1074,46,Zone 5
3,33,1170,90,Zone 5
3,34,397,167,Zone 7
3,36,943,61,Zone 4
3,37,1272,102,Zone 5
3,38,248,377,Zone 11
3,39,324,383,Zone 12
3,40,1147,154,Zone 10
4,1,1006,377,Zone 14
4,2,993,270,Zone 9
4,3,473,476,Zone 17
4,4,192,350,Zone 11
4,5,794,668,Zone 24
4,7,526,340,Zone 13
4,8,1216,145,Zone 10
4,9,818,122,Zone 4
4,10,492,198,Zone 7
4,11,160,61,Zone 1
4,12,741,68,Zone 3
4,13,610,97,Zone 3
4,14,970,530,Zone 19
4,15,581,87,Zone 3
4,16,547,90,Zone 3
4,17,1091,47,Zone 5
4,19,400,231,Zone 7
4,20,636,167,Zone 8
4,21,79,126,Zone 1
4,22,1135,50,Zone 5
4,23,794,139,Zone 4
4,24,255,44,Zone 1
4,25,496,32,Zone 2
4,28,674,116,Zone 3
4,29,1069,47,Zone 5
4,30,880,38,Zone 4
4,31,1075,46,Zone 5
4,33,1171,90,Zone 5
4,34,397,168,Zone 7
4,36,943,61,Zone 4
